,Address,Building Name,Class,Units,RBA/GLA,Secondary Type,Submarket,City,Land(AC),Built/Renov,Total Buildings,Stories,Vacancy %,Rent Type,Affordable Type,Parking Spaces/Unit,Parking Spaces
0,3501 1st Ave,3501 1st Avenue,C,22,"16,354",Apartments,Hillcrest,San Diego,0.31,1960,1,2,2.3,Affordable,Rent Restricted,0.73,16
1,3534 5th Ave,Strauss on Fifth,B,141,"261,900",Apartments,Hillcrest,San Diego,0.98,2019,1,6,0.8,Market/Affordable,Affordable Units,,
2,3754 5th Ave,Hillcrest Inn,C,46,"47,000",Apartments,Hillcrest,San Diego,0.16,1988,1,3,4.5,Affordable,Affordable Units,,
3,3705 10th Ave,,C,5,"7,460",Apartments,Uptown San Diego,San Diego,0.22,2001,1,1,2.3,Affordable,Rent Subsidized,1.6,8
4,2104-2106 Abbott St,,C,2,"1,944",Apartments,Ocean Beach,San Diego,0.11,1950,2,1,4.3,Market/Affordable,Affordable Units,,
5,4122-4128 Bannock Ave,,C,4,"3,032",Apartments,Clairemont,San Diego,0.3,1954,2,1,2.9,Affordable,Affordable Units,,6
6,7720 Belden St,Village North Senior Garden Apartments,C,120,"61,468",Apartments,Clairemont,San Diego,2.36,1985,7,2,0.9,Affordable,Rent Restricted,0.75,90
7,4503 Bond St,,,2,"1,720",Apartments,Pacific Beach,San Diego,0.13,1953/2020,2,1,3.3,Market/Affordable,Rent Controlled,,4
8,12730 Briarcrest Pl,Windwood Village,B,92,"91,879",Apartments,Carmel Valley,San Diego,4.38,2003,11,2,0,Affordable,Rent Restricted,3.26,300
9,3884 Caminito Aguilar,The Stratton Apartments,C,312,"286,925",Apartments,Clairemont,San Diego,10.62,1973,17,3,3.1,Market/Affordable,Rent Restricted,1.92,600
10,14350 Camino De La Luna,Chandon Village,C,10,"9,478",Apartments,Black Mountain Ranch,San Diego,1.22,2004,2,2,3,Affordable,Affordable Units,1.7,17
11,6050 Camino San Fermin,Cielo Carmel,B,197,"150,000",Apartments,Carmel Valley,San Diego,10.08,2016,12,2,0.3,Affordable,Rent Restricted,,
12,13863 Carmel Valley Rd,Torrey Del Mar Apartments,B,112,"157,476",Apartments,Torrey Highlands,San Diego,5.52,2000,7,2,0.1,Affordable,Rent Restricted,1.34,150
13,4820 Cass St,Pacific Beach Shores,C,48,"21,852",Apartments,Pacific Beach,San Diego,0.58,1979,2,3,3.3,Affordable,Rent Subsidized,0.46,22
14,3761-3771 Centre St,Centre Street Lofts,B,25,"18,654",Apartments,Uptown San Diego,San Diego,0.1,2010,2,3,0,Market/Affordable,Affordable Units,0.96,24
15,7568 Charmant Dr,Mirada at La Jolla Colony,A,444,"308,072",Apartments,University City,San Diego,12.76,1987,22,3,5.4,Market/Affordable,Affordable Units,1.13,500
16,2835 Clairemont Ct,Cerro Pueblo,C,46,"37,326",Apartments,Bay Park,San Diego,1.64,1982,3,1,2.9,Affordable,Rent Subsidized,1.09,50
17,2565 Clairemont Dr,,B,350,"40,000",Apartments,Bay Park,San Diego,,2024,1,4,,Market/Affordable,Rent Stabilized,,
